SUMMARY______________________________,,,,
files:,,,,
Gdax_BTCUSD_1h_new.csv,,,,
Gdax_ETHUSD_1h_new.csv,,,,
predInd=1,d=1,,,
inputs:     1,,,,
,,,,
trainMSE,testMSE,n,g_p,C
15136.937544,344.96606,10,1,10
16851.952864,345.174983,3,10,0.01
15925.492533,345.917931,3,1,1
14036.219157,346.283641,3,10,1
15244.649472,347.020027,10,0.1,1000
15795.76528,347.081024,30,0.01,1000
16299.497467,347.144187,10,0.01,100
15547.892305,347.353191,30,0.1,100
16279.02251,347.955646,10,0.1,10
15975.478015,348.352027,3,0.1,100
15269.221958,348.394332,3,1,10
15907.462328,348.45893,10,0.1,100
16078.184518,348.80218,3,0.01,1000
16306.685475,349.096098,10,0.001,1000
8121.339737,349.162691,10,10,1000
16126.857307,349.713032,3,0.1,10
13408.585139,349.79572,10,1,100
15710.679083,350.044646,3,10,0.1
14168.688718,350.810282,30,1,10
15860.859121,350.855955,3,0.1,1000
13835.218269,350.956204,3,1,1000
16054.253355,351.34294,10,1,1
14082.307717,351.675042,30,0.1,1000
12689.457376,351.898964,10,10,1
16537.125502,352.718519,3,1,0.1
16134.817711,353.463833,10,0.01,1000
15401.107823,353.947923,10,10,0.1
11728.385227,354.530144,10,1,1000
10440.528436,354.639646,10,10,10
16625.933627,354.702526,3,0.01,10
16045.547673,355.026804,30,0.01,100
16053.208524,355.293566,30,0.001,1000
11055.212946,356.129438,30,10,1
16016.681019,356.188809,30,0.1,10
17618.979374,356.786445,3,100,0.01
16180.512527,356.849047,3,0.01,100
14930.348058,357.172999,30,10,0.1
8893.520227,357.309074,10,10,100
16605.387284,358.679025,3,0.1,1
11021.531427,359.035234,30,1,100
16629.326292,359.391863,3,0.001,100
15777.081089,360.1004,30,1,1
16187.972376,360.95919,3,0.001,1000
19887.477266,360.986059,3,100,0.001
7974.3424,361.865728,30,10,10
7089.955469,362.086305,30,10,1000
12197.517004,362.513685,3,10,1000
15706.427128,362.526674,30,100,0.01
14887.881994,364.196561,3,100,0.1
13004.486609,364.215814,3,10,10
7136.761797,366.310413,30,10,100
12588.435763,367.944872,3,10,100
17144.907632,369.105932,10,0.01,10
17144.182553,369.477151,10,0.1,1
17142.512356,369.506059,10,0.001,100
11483.257757,370.004046,3,100,1
21367.821722,370.545244,3,1000,0.001
17112.267146,370.795767,10,1,0.1
16415.147195,370.986698,10,100,0.01
8861.455601,372.483958,30,1,1000
12814.645189,372.886287,10,100,0.1
15649.350661,376.435386,100,0.01,1000
16349.600513,376.671702,30,0.001,100
16348.692594,377.024405,30,0.01,10
16345.940551,377.087239,30,0.1,1
16320.557228,377.940603,30,1,0.1
15607.819681,379.290448,100,0.001,1000
14292.909111,379.304739,3,1,100
15607.624109,380.491284,100,0.01,100
16283.311486,381.485043,30,10,0.01
15597.566022,383.817105,100,0.1,10
17054.724542,383.942329,10,10,0.01
7479.812861,386.022765,10,100,1
15393.929544,387.35366,300,0.1,10
16580.90537,387.726483,300,0.001,100
16580.825221,387.772598,300,0.01,10
16581.326909,387.814624,300,0.1,1
15398.781869,387.898644,300,0.001,1000
15397.857709,387.999423,300,0.01,100
16583.126418,388.308094,300,1,0.1
16758.030164,390.375989,30,100,0.001
15923.190572,390.480854,30,1000,0.01
16901.244277,390.718731,300,0.01,1
16901.246008,390.721587,300,0.001,10
16901.29728,390.72536,300,0.1,0.1
16901.830516,390.793235,300,1,0.01
16276.700509,390.836725,100,0.001,100
16277.064332,391.555901,100,0.01,10
16944.538743,391.848884,300,0.001,0.01
16944.538762,391.848893,300,0.01,0.001
16944.580073,391.851211,300,0.001,0.001
16940.856225,392.160178,300,0.01,0.1
16940.862253,392.161492,300,0.1,0.01
16940.859005,392.162297,300,0.001,1
16940.91943,392.172416,300,1,0.001
16944.720375,392.214362,300,0.01,0.01
16944.72098,392.214495,300,0.1,0.001
16944.720655,392.214576,300,0.001,0.1
16278.35827,392.488284,100,0.1,1
15369.771719,392.682648,300,1,1
16908.830067,392.815036,300,10,0.001
14537.356179,392.846261,100,0.1,1000
16833.022373,393.018206,300,1000,0.001
15535.783043,393.173179,100,0.1,100
7073.516991,393.638532,10,100,10
15503.862689,395.383524,100,1,1
16285.495977,396.160904,100,1,0.1
19325.602492,396.185399,3,1000,0.01
16845.64205,396.707636,30,1,0.01
16842.239391,396.7806,30,0.01,1
16842.581676,396.781888,30,0.1,0.1
16841.897779,396.938425,30,0.001,10
16871.57291,397.479421,30,10,0.001
14961.823215,398.822674,100,10,0.1
16869.18153,399.022586,30,1000,0.001
16653.358314,400.010184,100,1000,0.001
11436.77136,400.442586,100,10,1
16966.549935,400.455355,30,0.001,1
16966.554903,400.455402,30,0.01,0.1
16966.603513,400.456156,30,0.1,0.01
16967.068623,400.464346,30,1,0.001
17809.029551,400.682758,10,0.1,0.1
17808.514287,400.749409,10,0.001,10
17808.595212,400.77395,10,0.01,1
10632.630875,400.924505,100,1,100
16981.126497,401.190349,30,0.1,0.001
16981.121808,401.190677,30,0.01,0.01
16981.121341,401.190722,30,0.001,0.1
16982.587342,401.237591,30,0.01,0.001
16982.587296,401.237595,30,0.001,0.01
16982.73397,401.242285,30,0.001,0.001
17893.532213,401.296569,10,1000,0.001
17652.003592,401.702636,10,100,0.001
16626.851694,402.60914,300,10,0.01
17809.722536,402.970066,10,1,0.01
16692.264634,405.415973,100,0.01,1
16692.252803,405.417631,100,0.001,10
16692.48141,405.488245,100,0.1,0.1
17846.807849,406.178136,10,10,0.001
16694.641956,406.222183,100,1,0.01
14649.450042,408.818924,100,1,10
18020.971892,409.930406,10,1,0.001
18019.920858,409.971043,10,0.1,0.01
18019.793387,409.974972,10,0.001,1
18019.806099,409.975516,10,0.01,0.1
18047.560189,410.208912,10,0.001,0.1
18047.561619,410.209036,10,0.01,0.01
18047.575959,410.210412,10,0.1,0.001
18050.636982,410.425289,10,0.001,0.01
18050.637126,410.425302,10,0.01,0.001
18050.945349,410.447254,10,0.001,0.001
16761.189663,411.367093,100,0.001,1
16761.193181,411.369012,100,0.01,0.1
16761.217955,411.378719,100,0.1,0.01
16761.458189,411.470881,100,1,0.001
16768.425343,411.508924,100,0.001,0.001
16768.366138,411.513211,100,0.001,0.01
16768.366194,411.513249,100,0.01,0.001
16767.774251,411.556132,100,0.001,0.1
16767.77481,411.556513,100,0.01,0.01
16767.777319,411.557504,100,0.1,0.001
16712.451265,411.856209,100,10,0.001
16844.735111,416.563035,300,100,0.001
15182.916934,417.590555,300,10,0.1
16343.590342,423.283074,100,10,0.01
11528.790361,424.702777,30,100,0.1
6135.013043,427.392863,30,1000,1
6135.013043,427.392863,30,1000,10
6135.013043,427.392863,30,1000,100
6135.013043,427.392863,30,1000,1000
7315.909063,430.024209,100,1,1000
15719.818719,431.172717,100,1000,0.01
19755.727657,432.526977,3,0.001,10
19756.718439,432.619483,3,0.01,1
19766.98881,435.225147,3,0.1,0.1
11234.194423,435.451946,100,100,0.1
7268.576796,438.553656,100,10,10
19851.382792,438.84228,3,1,0.01
15151.243291,439.761622,300,0.01,1000
20393.687212,440.182574,3,10,0.001
15665.703349,440.58047,100,100,0.01
16642.100993,440.865328,100,100,0.001
10723.681831,442.659339,30,1000,0.1
11115.101571,443.503027,300,100,0.1
15105.004631,450.319594,300,0.1,100
9587.604968,465.0565,3,100,1000
9963.487199,470.678525,3,100,100
15919.015653,470.726363,300,1000,0.01
16797.695848,479.256015,10,1000,0.01
6438.901881,484.834706,30,100,1
21993.905252,492.657903,3,0.001,1
21994.079179,492.661674,3,0.01,0.1
21995.809586,492.697775,3,0.1,0.01
22012.288969,493.039395,3,1,0.001
7411.954807,499.369289,10,100,100
22346.658209,503.030483,3,0.001,0.1
22346.677771,503.031773,3,0.01,0.01
22346.869446,503.041548,3,0.1,0.001
22385.016153,505.636022,3,0.001,0.01
22385.018099,505.636121,3,0.01,0.001
6865.11049,505.736833,100,10,100
22388.76207,505.780641,3,0.001,0.001
10449.267419,507.677927,3,100,10
16004.062052,508.333641,300,100,0.01
12040.153681,527.274414,300,10,1
14605.514499,528.590255,300,1,10
14822.903073,554.608182,300,0.1,1000
8452.434782,557.01133,3,1000,1
6428.059111,559.38564,100,100,1
6941.81148,564.75754,100,10,1000
11718.21692,578.263625,300,1,100
7974.245496,593.520875,300,1,1000
14640.032471,594.771185,3,1000,0.1
6628.038817,595.835592,30,100,10
6628.038817,595.835592,30,100,100
6628.038817,595.835592,30,100,1000
7922.456341,616.297159,300,10,10
7591.34959,626.198356,10,100,1000
6469.814566,626.28387,100,100,10
6469.814566,626.28387,100,100,100
6469.814566,626.28387,100,100,1000
7949.326166,629.191087,3,1000,10
10567.896266,629.949193,100,1000,0.1
11402.20475,652.220976,10,1000,0.1
6161.617728,872.847661,100,1000,1
6161.617728,872.847661,100,1000,10
6161.617728,872.847661,100,1000,100
6161.617728,872.847661,100,1000,1000
7916.945886,906.526334,300,10,100
7916.860212,908.518933,300,10,1000
6697.230121,927.532313,10,1000,1
6697.230121,927.532313,10,1000,10
6697.230121,927.532313,10,1000,100
6697.230121,927.532313,10,1000,1000
8206.470229,1024.826243,3,1000,100
6745.524243,1129.383579,300,100,1
6757.146777,1145.737594,300,100,10
6757.146777,1145.737594,300,100,100
6757.146777,1145.737594,300,100,1000
10801.94902,1218.324073,300,1000,0.1
8507.667486,1323.71077,3,1000,1000
6251.721087,1567.332204,300,1000,1
6251.721087,1567.332204,300,1000,10
6251.721087,1567.332204,300,1000,100
6251.721087,1567.332204,300,1000,1000
